Software Name,Aliases,Normalized Name
mitre_down_new,,down new
mitre_dsquery,dsquery.exe,dsquery
mitre_esentutl,esentutl.exe,esentutl
mitre_ftp,ftp.exe,ftp
mitre_gh0st RAT,"Moudoor, Mydoor",gh0st rat
mitre_gsecdump,,gsecdump
mitre_hcdLoader,,hcdloader
mitre_httpclient,,httpclient
mitre_iKitten,OSX/MacDownloader,ikitten
mitre_ifconfig,,ifconfig
mitre_ipconfig,,ipconfig
mitre_jRAT,"Adwind, AlienSpy, Frutas, JSocket, Sockrat, Trojan.Maljava, Unrecom, jBiFrost, jFrutas",jrat
mitre_macOS.OSAMiner,,macos.osaminer
mitre_meek,,meek
mitre_metaMain,,metamain
mitre_nbtstat,,nbtstat
mitre_netsh,netsh.exe,netsh
mitre_netstat,,netstat
mitre_ngrok,,ngrok
mitre_njRAT,"Bladabindi, LV, Njw0rm",njrat
mitre_pngdowner,,pngdowner
mitre_pwdump,,pwdump
mitre_route,,route
mitre_schtasks,schtasks.exe,schtasks
mitre_spwebmember,,spwebmember
mitre_sqlmap,,sqlmap
mitre_xCaon,,xcaon
mitre_xCmd,,xcmd
mitre_yty,,yty
mitre_zwShell,,zwshell
mitre_ACAD/Medre.A,,acad/medre.a
mitre_Fuxnet,,fuxnet
mitre_INCONTROLLER,PIPEDREAM,incontroller
mitre_PLC-Blaster,,plc-blaster
mitre_Triton,"HatMan, TRISIS",triton
